"id_materi","id_kelasb"
210,775
211,1191
261,1037
260,780
214,794
215,1262
216,1239
216,1238
217,1270
218,1203
219,1263
219,1264
219,1265
219,1266
219,1267
220,1263
220,1264
220,1265
220,1266
220,1267
224,1257
224,1256
223,1287
222,1283
222,1282
225,1268
226,1215
226,1216
226,1219
227,1253
228,1004
1087,984
1087,983
604,984
604,983
231,1258
231,1259
232,1217
232,1218
233,1191
234,1254
234,1255
236,1212
237,1212
239,1427
239,1428
365,1189
365,1188
241,1188
241,1189
242,1240
242,1241
242,1242
242,1243
242,1244
242,1245
391,773
244,777
245,904
246,1439
247,1439
248,904
249,1439
250,1439
251,1439
252,904
253,1439
254,910
255,910
256,910
257,914
258,914
259,914
261,1038
262,1037
262,1038
263,1037
263,1038
264,1037
264,1038
265,1251
266,1232
266,1233
267,1280
267,1281
268,913
269,913
270,913
271,913
272,1238
272,1239
275,913
274,913
276,913
277,913
278,913
279,913
280,913
281,913
282,913
283,913
284,1441
285,1037
285,1038
286,1037
286,1038
288,805
289,806
291,806
292,1652
293,1652
294,788
295,788
296,910
297,1008
297,1009
299,1207
300,1037
300,1038
301,1037
301,1038
302,1037
302,1038
303,1037
303,1038
304,1037
304,1038
305,1037
305,1038
306,1037
306,1038
307,1037
307,1038
308,779
309,1429
309,1430
310,808
311,808
312,814
313,795
314,1518
315,1518
316,1150
317,1405
318,1224
318,1223
319,1282
319,1283
320,1407
321,1427
321,1428
322,934
323,934
324,934
325,934
326,934
327,934
328,934
329,934
330,934
331,934
332,934
333,934
334,934
335,937
336,937
337,937
338,795
339,812
340,937
464,812
342,937
343,937
344,937
345,1649
346,1191
405,979
404,1287
403,980
403,979
349,1262
350,937
351,937
352,937
353,937
354,937
355,937
356,937
357,1234
357,1235
357,1236
357,1237
358,1191
359,1255
359,1254
360,1191
361,1215
361,1216
361,1219
316,1405
317,1150
362,785
366,1188
364,785
366,1189
367,865
369,865
368,865
386,1159
371,1159
372,1159
373,1256
373,1257
374,1218
374,1217
375,1287
376,811
377,1240
377,1241
377,1242
377,1243
377,1244
377,1245
378,1159
379,1159
380,1253
381,1259
381,1258
382,910
383,904
412,780
385,914
387,1230
387,1231
390,780
389,1230
389,1231
393,1215
393,1216
393,1219
394,1212
395,811
396,1251
397,1232
397,1233
398,1436
398,1437
399,1436
400,1436
400,1437
401,1436
401,1437
402,1436
402,1437
405,980
406,1287
407,1258
407,1259
408,1258
408,1259
410,1207
414,1263
414,1264
414,1265
414,1266
414,1267
415,806
416,806
417,1263
417,1264
417,1265
