NIM,KODE,SKS,HARGA,GRUP,NILAI,SEMESTER,TH_AJARAN
31950540,BI2312,2,2,A,A,GASAL,1999/2000
31950540,BI2254,4,5,A,E,GASAL,1999/2000
31950540,BI4602,2,2,A,B,GASAL,1999/2000
31950555,BI1204,4,5,A,D,GASAL,1999/2000
31950555,MU1032,2,2,A,C,GASAL,1999/2000
31950555,BI2213,3,4,A,E,GASAL,1999/2000
31950555,MU1012,2,2,A,D,GASAL,1999/2000
31960594,BI2312,2,2,A,E,GASAL,1999/2000
31960594,BI1422,2,2,A,E,GASAL,1999/2000
31960594,BI1013,3,3,A,E,GASAL,1999/2000
31960594,BI2272,2,2,A,E,GASAL,1999/2000
31960594,BI1084,4,5,A,E,GASAL,1999/2000
31960607,BI2272,2,2,A,D,GASAL,1999/2000
31960607,BI2312,2,2,A,D,GASAL,1999/2000
31960607,BI3483,3,4,A,C,GASAL,1999/2000
31960607,MU2052,2,2,A,C,GASAL,1999/2000
31960607,BI1403,3,3,A,A,GASAL,1999/2000
31960607,BI2223,3,4,A,C,GASAL,1999/2000
31960621,BI3732,2,2,A,C,GASAL,1999/2000
31960621,BI3752,2,2,A,B,GASAL,1999/2000
31960621,BI3762,2,2,A,B,GASAL,1999/2000
31960621,BI4862,2,2,A,C,GASAL,1999/2000
31960621,MU2102,2,2,A,B,GASAL,1999/2000
31960621,MU3022,2,2,A,C,GASAL,1999/2000
31960621,BI3812,2,2,B,B,GASAL,1999/2000
31960621,BI3802,2,2,B,A,GASAL,1999/2000
31960621,MU3042,2,2,A,C,GASAL,1999/2000
31970641,MU1072,2,2,A,C,GASAL,1999/2000
31970641,BI2213,3,4,A,E,GASAL,1999/2000
31970641,BI2223,3,4,A,D,GASAL,1999/2000
31970641,BI2244,4,5,A,D,GASAL,1999/2000
31970641,BI1403,3,3,A,D,GASAL,1999/2000
31970650,BI1204,4,5,A,E,GASAL,1999/2000
31970650,BI2223,3,4,A,C,GASAL,1999/2000
31970650,BI2213,3,4,A,D,GASAL,1999/2000
31970650,BI2244,4,5,A,D,GASAL,1999/2000
31970650,BI2254,4,5,A,B,GASAL,1999/2000
31970650,MU2052,2,2,A,E,GASAL,1999/2000
31970650,BI1013,3,3,A,E,GASAL,1999/2000
31980654,BI1204,4,5,A,D,GASAL,1999/2000
31980654,BI2213,3,4,A,E,GASAL,1999/2000
31980654,BI2223,3,4,A,C,GASAL,1999/2000
31980654,BI2244,4,5,A,B,GASAL,1999/2000
31980654,BI1084,4,5,A,C,GASAL,1999/2000
31980654,MU1032,2,2,A,C,GASAL,1999/2000
31980683,BI2254,4,5,A,C,GASAL,1999/2000
31980683,BI1204,4,5,A,C,GASAL,1999/2000
31980683,BI2223,3,4,A,D,GASAL,1999/2000
31980683,BI1403,3,3,A,B,GASAL,1999/2000
31980683,MU1072,2,2,A,D,GASAL,1999/2000
31990699,MU1012,2,2,A,B,GASAL,1999/2000
31990699,MU1032,2,2,A,D,GASAL,1999/2000
31990699,BI1054,4,5,A,D,GASAL,1999/2000
31990699,BI1084,4,5,A,D,GASAL,1999/2000
31990699,BI1034,4,5,A,B,GASAL,1999/2000
31990699,BI1013,3,3,A,C,GASAL,1999/2000
31990704,MU1012,2,2,A,B,GASAL,1999/2000
31990704,MU1032,2,2,A,C,GASAL,1999/2000
31990704,BI1054,4,5,A,D,GASAL,1999/2000
31990704,BI1084,4,5,A,C,GASAL,1999/2000
31990704,BI1034,4,5,A,D,GASAL,1999/2000
31990704,BI1013,3,3,A,D,GASAL,1999/2000
31990705,MU1012,2,2,A,B,GASAL,1999/2000
31990705,MU1032,2,2,A,D,GASAL,1999/2000
31990705,BI1054,4,5,A,D,GASAL,1999/2000
31990705,BI1084,4,5,A,C,GASAL,1999/2000
31990705,BI1034,4,5,A,D,GASAL,1999/2000
31990705,BI1013,3,3,A,C,GASAL,1999/2000
31990725,MU1012,2,2,A,B,GASAL,1999/2000
31990725,MU1032,2,2,A,C,GASAL,1999/2000
31990725,BI1054,4,5,A,C,GASAL,1999/2000
31990725,BI1084,4,5,A,C,GASAL,1999/2000
31990725,BI1034,4,5,A,A,GASAL,1999/2000
31990725,BI1013,3,3,A,B,GASAL,1999/2000
31990729,MU1012,2,2,A,B,GASAL,1999/2000
31990729,MU1032,2,2,A,C,GASAL,1999/2000
31990729,BI1054,4,5,A,C,GASAL,1999/2000
31990729,BI1084,4,5,A,B,GASAL,1999/2000
31990729,BI1034,4,5,A,B,GASAL,1999/2000
31990729,BI1013,3,3,A,C,GASAL,1999/2000
31990732,MU1012,2,2,A,C,GASAL,1999/2000
31990732,MU1032,2,2,A,D,GASAL,1999/2000
31990732,BI1054,4,5,A,D,GASAL,1999/2000
31990732,BI1084,4,5,A,D,GASAL,1999/2000
31990732,BI1034,4,5,A,E,GASAL,1999/2000
31990732,BI1013,3,3,A,D,GASAL,1999/2000
31990759,MU1012,2,2,A,C,GASAL,1999/2000
31990759,MU1032,2,2,A,C,GASAL,1999/2000
31990759,BI1054,4,5,A,D,GASAL,1999/2000
31990759,BI1084,4,5,A,B,GASAL,1999/2000
31990759,BI1034,4,5,A,A,GASAL,1999/2000
31990759,BI1013,3,3,A,C,GASAL,1999/2000
31930445,BI3713,3,4,A,D,GENAP,1999/2000
31930445,BI3523,3,4,A,E,GENAP,1999/2000
31930445,BI4612,2,2,A,E,GENAP,1999/2000
31930445,BI2452,2,2,A,E,GENAP,1999/2000
31930445,BI3514,4,5,A,D,GENAP,1999/2000
31930445,BI1412,2,2,A,E,GENAP,1999/2000
31950531,BI2294,4,5,A,E,GENAP,1999/2000
31950531,BI4642,2,2,A,D,GENAP,1999/2000
31950531,BI3713,3,4,A,D,GENAP,1999/2000
31950531,BI4593,3,4,A,E,GENAP,1999/2000
31950531,BI2284,4,5,A,E,GENAP,1999/2000
31950531,MU4123,3,3,A,E,GENAP,1999/2000
31950533,MU1072,2,2,A,C,GENAP,1999/2000
31950533,BI2264,4,5,A,E,GENAP,1999/2000
31950533,BI2294,4,5,A,C,GENAP,1999/2000
31950533,BI2304,4,5,A,E,GENAP,1999/2000
31950533,BI1073,3,4,A,E,GENAP,1999/2000
31950533,BI3514,4,5,A,E,GENAP,1999/2000
31950540,BI1412,2,2,A,D,GENAP,1999/2000
31950540,BI2264,4,5,A,E,GENAP,1999/2000
31950540,BI2284,4,5,A,D,GENAP,1999/2000
